T1 = 84,  T2 = 85,  optimal x = VectorD(8.02547,	-7.95246,	1.82989,	2.05003,	3.05954,	4.01584), y = 4.85999640586879
T1 = 85,  T2 = 86,  optimal x = VectorD(7.55556,	-7.77778,	1.72222,	2.22222,	3.22222,	4.22222), y = 2.665842361810411
T1 = 86,  T2 = 87,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 13.584416740080268
T1 = 87,  T2 = 88,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 1.2755121548355521
T1 = 88,  T2 = 89,  optimal x = VectorD(7.64396,	-8.37322,	1.49150,	3.48063,	4.12079,	2.70409), y = 5.347954206258501
T1 = 89,  T2 = 90,  optimal x = VectorD(8.28868,	-7.71132,	1.16105,	2.19296,	3.28666,	3.83733), y = 2.3793719329275698
T1 = 90,  T2 = 91,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 4.613617168606755
T1 = 91,  T2 = 92,  optimal x = VectorD(7.55556,	-7.77778,	1.72222,	2.22222,	3.22222,	4.22222), y = 6.707163620159818
T1 = 92,  T2 = 93,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 7.965692234779567
T1 = 93,  T2 = 94,  optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 2.4882171144636693
T1 = 94,  T2 = 95,  optimal x = VectorD(5.68836,	-7.73050,	1.56114,	3.61048,	4.39707,	3.30732), y = 3.652647252451078
T1 = 95,  T2 = 96,  optimal x = VectorD(7.76732,	-8.66384,	1.50971,	2.78440,	3.61148,	3.68196), y = 1.3313918163444831
T1 = 96,  T2 = 97,  optimal x = VectorD(7.88802,	-7.88281,	1.61719,	2.11719,	3.11719,	4.11719), y = 2.781339244001223
T1 = 97,  T2 = 98,  optimal x = VectorD(8.00000,	-7.50000,	1.50000,	2.00000,	3.00000,	4.00000), y = 4.665322629715115
T1 = 98,  T2 = 99,  optimal x = VectorD(7.83968,	-7.48697,	1.11523,	2.51303,	3.08093,	4.09174), y = 9.455264938656626
T1 = 99,  T2 = 100, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 5.476571802787629
T1 = 100, T2 = 101, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 5.25584279513332
T1 = 101, T2 = 102, optimal x = VectorD(8.08854,	-7.91146,	1.58854,	2.08854,	3.08854,	4.08854), y = 5.979668889982698
