T1 = 84,  T2 = 85,  optimal x = VectorD(7.08333,	-7.66667,	1.83333,	2.33333,	3.33333,	4.33333), y = 5.173981682872059
T1 = 85,  T2 = 86,  optimal x = VectorD(8.09838,	-8.47106,	1.69560,	2.19560,	3.19560,	4.19560), y = 0.8994521002930854
T1 = 86,  T2 = 87,  optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 9.869198433277191
T1 = 87,  T2 = 88,  optimal x = VectorD(7.93313,	-7.99666,	1.71399,	2.16538,	3.06816,	4.27649), y = 9.33982311342378
T1 = 88,  T2 = 89,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 2.2687173610116296
T1 = 89,  T2 = 90,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 7.958080811150893
T1 = 90,  T2 = 91,  optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 8.873486579499831
T1 = 91,  T2 = 92,  optimal x = VectorD(8.08333,	-7.91667,	1.83333,	2.08333,	3.08333,	4.08333), y = 3.6063017234318995
T1 = 92,  T2 = 93,  optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 12.275153160766187
T1 = 93,  T2 = 94,  optimal x = VectorD(7.80824,	-7.93966,	1.53793,	2.50826,	3.32145,	3.78294), y = 4.161142274349822
T1 = 94,  T2 = 95,  optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 3.9992313518034974
T1 = 95,  T2 = 96,  optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 3.9405375914687304
T1 = 96,  T2 = 97,  optimal x = VectorD(8.16452,	-7.86401,	1.58854,	2.12419,	3.34949,	4.04240), y = 1.2307175681284477
T1 = 97,  T2 = 98,  optimal x = VectorD(7.25926,	-7.87654,	1.83951,	2.50154,	3.69599,	4.32099), y = 1.5984681937451244
T1 = 98,  T2 = 99,  optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 10.416051506029858
T1 = 99,  T2 = 100, optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 4.148706735831665
T1 = 100, T2 = 101, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 4.529801087083167
T1 = 101, T2 = 102, optimal x = VectorD(8.05208,	-7.94792,	1.43750,	2.05208,	3.05208,	4.30208), y = 4.797462448422382
T1 = 102, T2 = 103, optimal x = VectorD(8.01950,	-7.95609,	1.50730,	2.00730,	3.00730,	4.03238), y = 8.008816513561914
T1 = 103, T2 = 104, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.00000), y = 2.523811042128805
T1 = 104, T2 = 105, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 2.283161823404351
T1 = 105, T2 = 106, optimal x = VectorD(8.00000,	-7.50000,	1.50000,	2.00000,	3.00000,	4.00000), y = 11.230997404523546
T1 = 106, T2 = 107, optimal x = VectorD(8.14253,	-7.84306,	0.998328,	2.17584,	3.20015,	4.15848), y = 5.698903801612988
T1 = 107, T2 = 108, optimal x = VectorD(8.00391,	-7.99609,	1.50781,	2.00391,	3.00391,	4.47266), y = 1.1714892681854812
T1 = 108, T2 = 109, optimal x = VectorD(7.88875,	-7.96797,	1.53608,	2.08469,	3.33469,	4.08469), y = 5.245125063100666
T1 = 109, T2 = 110, optimal x = VectorD(8.03364,	-7.79687,	1.58506,	2.15705,	3.06445,	4.03675), y = 0.34735623311462754
T1 = 110, T2 = 111, optimal x = VectorD(8.16667,	-7.83333,	1.66667,	2.16667,	3.16667,	4.16667), y = 9.600930773705644
T1 = 111, T2 = 112, optimal x = VectorD(8.00037,	-7.98280,	1.49312,	2.01062,	3.06929,	4.26720), y = 6.0311033619247105
T1 = 112, T2 = 113, optimal x = VectorD(8.25000,	-7.75000,	1.50000,	2.00000,	3.00000,	4.00000), y = 2.702280623427972
T1 = 113, T2 = 114, optimal x = VectorD(8.09028,	-7.90972,	1.25694,	2.09028,	3.09028,	4.34028), y = 4.906140085850611
