6,1012,0.042,70.9309,83,0.0207,75.4735,294,0.0633,74.1626,226,0.053,75.9248,174,0.0487,68.0523,101,0.0267,64.6297,134,0.041,60.7776
6.25,1377,0.058,69.1637,128,0.028,77.1281,382,0.0857,72.2359,307,0.074,72.9319,244,0.0673,67.0074,149,0.042,61.0584,167,0.0523,59.4012
6.5,1498,0.0627,69.5963,194,0.0443,77.7304,415,0.0943,71.1492,331,0.082,72.0079,235,0.0633,67.4787,154,0.04,63.9039,169,0.0533,59.5385
6.75,1753,0.0753,67.9878,234,0.0543,75.9923,467,0.1093,69.1231,391,0.0997,69.3248,289,0.078,66.7841,178,0.048,63.3017,194,0.063,58.7608
7,1512,0.067,66.3692,202,0.0483,69.4297,415,0.0957,69.3836,335,0.0863,68.6421,254,0.0757,63.5917,133,0.038,63.4098,173,0.0587,57.6058
7.25,1791,0.0797,65.6878,273,0.065,67.9136,474,0.114,67.9983,373,0.0953,69.3105,305,0.0883,63.0197,173,0.0507,62.1231,193,0.0657,57.187
7.5,1946,0.089,63.7338,295,0.071,66.1353,509,0.126,65.3165,418,0.1077,68.2419,329,0.102,59.9079,187,0.0557,60.9032,208,0.0727,56.0913
7.75,1882,0.0833,64.9329,286,0.066,68.1108,514,0.122,67.1403,402,0.1023,68.8124,298,0.0907,59.9393,184,0.0527,62.3641,198,0.068,56.9005
8,1695,0.0737,66.7065,224,0.052,68.6384,433,0.1013,68.4628,374,0.091,71.8848,298,0.0827,64.4356,174,0.0523,61.6862,192,0.063,58.5021
8.25,1705,0.0813,64.9828,265,0.0623,67.8242,447,0.1043,68.5573,372,0.0917,71.2962,286,0.1213,54.6329,147,0.044,61.7973,188,0.0657,58.1021
8.5,1828,0.085,62.92,236,0.057,66.7767,488,0.119,66.7322,398,0.1067,66.9854,324,0.099,54.537,179,0.056,61.0291,203,0.0723,56.3507
8.75,1713,0.0783,63.4596,247,0.0583,66.8769,433,0.104,66.5852,354,0.0947,65.6373,312,0.0937,59.8657,176,0.052,60.7659,191,0.0667,56.2314
9,1551,0.0683,66.1681,181,0.044,72.8569,410,0.0987,67.2305,324,0.08,69.7111,298,0.086,63.154,153,0.0427,64.7386,185,0.059,57.3178
9.25,1539,0.0693,65.9851,187,0.0483,70.7123,407,0.0963,67.2791,353,0.0883,70.0504,261,0.0757,62.3295,151,0.0453,63,180,0.0593,57.8844
9.5,1595,0.0723,65.5659,214,0.05,74.6916,420,0.1013,67.0102,352,0.0907,68.65,270,0.0833,60.2922,158,0.0477,61.2089,181,0.061,57.0608
9.75,1438,0.0637,66.5676,167,0.0407,75.7347,385,0.0883,68.8948,317,0.0807,69.3568,253,0.074,61.6893,145,0.0423,62.6621,171,0.0573,57.7901
10,1540,0.0703,65.3314,212,0.0513,73.8774,400,0.094,68.5403,357,0.0967,65.8874,259,0.0787,60.0764,131,0.041,61.371,181,0.0617,57.3983
10.25,1563,0.0723,65.0873,202,0.0473,75.9035,414,0.097,68.5988,360,0.0957,65.995,275,0.0867,58.6582,128,0.0423,60.2063,184,0.0643,56.6391
10.5,1573,0.0723,64.5028,174,0.0397,77.6351,435,0.104,67.2037,360,0.0977,64.7658,290,0.0883,59.5566,127,0.0397,60.0543,187,0.0647,56.3765
10.75,1559,0.0707,65.2064,185,0.0437,76.1081,418,0.0993,67.3689,355,0.093,66.2104,297,0.0877,60.9953,116,0.0367,60.6897,188,0.064,57.2112
11,1480,0.0687,64.6838,158,0.0363,75.357,392,0.094,67.2745,352,0.094,66.1605,273,0.0863,59.7044,123,0.039,61.0366,182,0.063,56.9297
11.25,1587,0.0717,65.0669,163,0.035,76.6098,436,0.103,67.6294,371,0.0987,66.0046,298,0.0873,60.6641,127,0.0393,61.2378,192,0.065,56.8953
11.5,1557,0.0703,65.237,181,0.0407,75.5773,424,0.1003,67.7262,349,0.0913,66.4688,295,0.0883,61.2017,121,0.0397,59.4397,187,0.0633,57.3551
11.75,1442,0.0677,64.1339,138,0.0313,75.692,413,0.0983,67.439,334,0.0913,65.2763,265,0.0863,57.8721,117,0.036,61.365,175,0.063,56.4434
12,1514,0.0693,64.1914,160,0.0373,72.4062,421,0.1017,66.8242,337,0.0883,66.1071,288,0.0877,59.3132,126,0.0383,62.673,182,0.0623,56.1291
12.25,1521,0.0693,64.7431,155,0.0343,75.2,428,0.1003,68.0713,344,0.0943,64.6215,288,0.087,59.8819,122,0.037,63.9361,184,0.064,56.6288
12.5,1497,0.068,64.9666,124,0.027,75.2411,418,0.0997,67.8584,363,0.098,65.2587,296,0.0863,62.7966,106,0.033,60.6443,190,0.0647,57.3737
12.75,1502,0.0677,65.5338,134,0.03,75.6619,430,0.1017,67.9858,356,0.0927,67.6654,257,0.077,61.3354,145,0.045,61.049,180,0.0607,57.5033
13,1516,0.0687,65.2598,150,0.034,74.44,435,0.103,68.0076,348,0.0897,67.742,272,0.083,60.7309,131,0.0403,59.7679,180,0.0617,57.2511
