1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
386,247,314,222,136,371,244,307,219,133,345,230,279,306,0,342,228,274,300,100,335,226,271,298,108
462,301,372,254,145,458,294,368,250,143,434,272,348,359,0,426,272,349,359,111,428,271,350,358,124
528,308,412,278,215,526,308,407,274,215,516,286,371,428,0,524,284,368,428,141,525,286,366,427,152
496,305,392,276,257,498,302,386,275,253,473,284,360,445,0,467,281,363,445,159,466,278,361,444,177
493,284,395,280,223,493,289,405,279,223,483,269,370,444,0,485,271,368,446,174,487,270,370,445,194
530,323,420,304,253,526,321,417,302,253,496,300,393,483,0,498,298,394,478,171,500,301,396,477,192
537,297,426,301,281,533,295,425,307,282,486,262,374,486,0,486,265,372,487,202,483,265,367,490,227
488,303,413,292,313,499,304,414,289,309,479,269,366,484,0,481,270,367,486,239,481,268,373,485,272
478,295,372,272,292,477,297,375,276,291,451,261,325,468,0,446,261,330,465,246,446,262,328,466,277
523,311,445,329,275,525,305,445,325,281,490,291,402,527,0,495,289,395,524,260,496,291,390,523,295
527,327,444,306,253,520,331,439,312,247,485,306,403,488,0,483,308,406,492,268,483,306,410,493,293
468,312,411,299,259,473,308,411,295,262,462,299,376,488,0,462,296,376,491,247,463,297,378,488,283
449,439,394,285,244,453,432,397,285,245,436,393,360,452,0,435,396,363,450,236,433,393,355,454,258
409,387,366,264,203,411,389,363,267,209,400,373,332,418,0,401,372,330,417,233,402,374,337,417,252
427,422,360,275,232,424,424,362,272,232,406,402,345,447,0,407,399,347,448,233,408,397,343,445,251
408,381,362,252,210,405,387,365,254,210,391,355,331,405,0,389,357,329,409,237,385,358,331,411,257
404,383,341,229,187,403,379,338,230,185,381,352,315,358,0,379,353,317,355,216,381,349,321,356,233
408,411,367,272,187,402,412,371,276,186,386,388,336,413,0,387,385,332,413,240,388,389,329,411,249
369,363,330,257,189,381,362,333,253,192,360,317,306,390,0,362,320,305,393,236,361,319,304,392,252
398,381,343,266,181,399,384,345,268,179,386,356,314,388,0,387,356,317,385,238,386,356,320,387,247
402,370,309,246,183,394,371,302,242,183,380,350,277,353,0,380,345,275,353,260,382,347,275,355,269
347,335,314,265,203,355,336,317,265,203,346,315,292,417,0,345,320,294,419,283,345,321,294,415,292
329,326,300,235,205,326,329,298,236,206,307,304,275,367,0,308,303,276,367,262,306,302,272,368,276
394,359,364,246,218,392,357,365,245,216,377,332,332,400,0,376,331,333,400,271,377,331,334,399,283
326,310,334,246,184,332,310,336,251,185,310,283,303,354,0,311,284,299,350,251,313,284,300,353,269
359,373,329,224,187,352,373,330,219,188,346,343,313,340,0,346,341,317,342,274,346,342,317,339,287
353,317,355,260,199,356,318,353,258,198,344,289,316,393,0,344,293,314,393,257,343,294,313,398,263
335,275,289,222,186,339,272,292,225,186,320,260,260,346,0,319,258,261,347,239,319,258,263,344,253
353,292,328,257,157,354,292,321,255,158,340,256,302,362,0,341,258,300,363,274,342,257,299,362,288
368,322,325,242,175,364,325,330,248,172,338,301,306,357,0,333,300,308,356,252,331,297,310,358,268
354,347,309,251,183,355,344,312,250,188,337,319,286,380,0,338,318,287,378,288,336,321,285,376,298
397,344,363,241,183,392,347,359,236,181,383,323,323,364,0,388,323,321,364,255,392,322,320,367,266
403,393,369,260,179,407,390,367,257,181,382,369,337,374,0,374,368,336,379,285,374,366,337,379,294
405,441,390,275,175,405,432,391,275,172,397,405,366,402,0,404,405,370,399,294,402,401,370,399,309
407,430,362,301,201,406,436,362,300,203,387,416,333,446,0,386,414,329,447,298,386,419,328,442,309
451,406,356,262,196,449,404,355,270,196,443,387,332,419,0,441,388,334,419,261,442,390,334,420,275
458,249,354,264,188,455,260,357,263,186,440,247,332,388,0,442,251,331,390,334,441,248,334,393,340
511,256,422,276,224,510,255,414,277,223,479,244,381,426,0,478,246,375,422,289,480,250,371,423,308
516,308,411,283,232,522,305,415,282,227,505,284,375,439,0,505,282,380,441,271,503,279,383,438,284
423,280,364,295,264,419,284,363,289,269,396,265,336,462,0,399,264,334,460,261,399,265,333,458,281
472,251,408,272,285,474,254,407,280,283,458,238,382,487,0,457,240,383,483,282,459,240,380,482,309
444,263,408,308,283,443,255,400,298,285,421,242,360,485,0,415,240,362,487,269,413,241,367,489,291
413,265,348,266,300,413,268,359,270,297,389,235,308,446,0,394,234,311,449,226,392,232,312,450,250
357,217,311,248,274,363,219,312,248,272,330,183,257,388,0,332,186,255,389,208,336,188,253,389,228
363,224,397,261,321,359,223,396,261,315,333,190,344,417,0,332,189,338,416,239,331,188,337,417,252
353,241,341,246,287,353,239,344,254,296,318,207,267,387,0,317,205,272,387,180,316,206,272,383,179
310,256,320,229,296,316,255,318,227,294,295,219,263,369,0,295,222,262,371,175,294,221,264,376,176
264,233,269,160,318,273,243,280,165,328,255,215,245,349,0,260,217,250,352,131,265,220,252,355,132
