6,781,0.0433,65.3321,83,0.02,73.6771,296,0.0593,70.2209,229,0.0543,69.7472,173,0.041,47.0792,0,,,0
6.25,1057,0.0583,62.9565,127,0.026,75.4819,391,0.0797,69.1997,300,0.0757,65.4873,239,0.052,42.9473,0,,,0
6.5,1167,0.0633,64.8363,195,0.0417,76.1221,414,0.0863,68.0056,333,0.0847,64.9141,225,0.042,48.9347,0,,,0
6.75,1343,0.0743,64.4729,240,0.053,74.0792,468,0.102,65.5846,398,0.1047,62.7452,237,0.0387,55.5089,0,,,0
7,1166,0.0677,62.4174,200,0.045,67.359,410,0.0877,65.2841,346,0.0907,62.5991,210,0.0463,51.6986,0,,,0
7.25,1420,0.083,60.0688,276,0.062,65.7496,480,0.1067,64.6637,380,0.1007,62.5747,284,0.0637,43.3768,0,,,0
7.5,1525,0.0883,59.6003,302,0.069,63.5139,505,0.116,61.8964,423,0.1127,61.3,295,0.056,49.2088,0,,,0
7.75,1431,0.0783,63.3103,286,0.0613,66.3902,517,0.113,63.9106,408,0.1057,62.5907,220,0.0347,59.2536,0,,,0
8,1242,0.0667,65.1,222,0.0483,66.6392,432,0.0933,65.1847,392,0.0987,64.7309,196,0.0277,64,0,,,0
8.25,1277,0.0693,64.8983,259,0.058,65.4903,461,0.0997,64.759,375,0.0947,64.6696,182,0.0253,64.9209,0,,,0
8.5,1304,0.075,62.6466,235,0.054,63.8753,492,0.1113,63.0091,401,0.1107,60.5686,176,0.0247,64.7369,0,,,0
8.75,1281,0.0767,59.8377,249,0.0557,64.506,440,0.0977,62.913,362,0.1003,59.163,230,0.0543,49.9039,0,,,0
9,1203,0.0703,59.6502,178,0.0413,70.1101,410,0.0907,64.081,326,0.083,63.1862,289,0.0663,42.9588,0,,,0
9.25,1207,0.07,60.8334,181,0.0457,68.1144,409,0.0887,64.3213,365,0.093,64.2515,252,0.0533,45.0004,0,,,0
9.5,1241,0.0703,62.0947,213,0.0473,72.5009,429,0.0947,64.1671,343,0.0897,62.807,256,0.0497,48.9164,0,,,0
9.75,1107,0.0643,62.0375,163,0.038,73.5141,389,0.083,65.4044,313,0.082,63.0629,242,0.054,47.5574,0,,,0
10,1240,0.074,62.7556,209,0.048,71.9536,410,0.0883,65.3339,358,0.0973,60.7732,263,0.063,54.0023,0,,,0
10.25,1258,0.0743,64.2841,209,0.0457,75.0373,417,0.091,65.0058,369,0.0997,60.9095,263,0.0613,59.2483,0,,,0
10.5,1252,0.0783,61.653,176,0.038,76.3989,435,0.096,63.7324,353,0.0983,59.2674,288,0.081,52.2854,0,,,0
10.75,1253,0.0767,61.7333,182,0.04,75.256,420,0.091,64.4686,361,0.0983,59.8349,290,0.0773,51.6969,0,,,0
11,1179,0.0737,58.2969,157,0.0337,74.9166,395,0.087,64.3863,357,0.0957,60.9104,270,0.0777,36.1074,0,,,0
11.25,1267,0.0753,57.8441,166,0.0343,75.1193,440,0.095,64.9932,370,0.1003,60.7589,291,0.072,33.4649,0,,,0
11.5,1233,0.0727,58.1696,176,0.0377,73.8955,421,0.091,64.9195,352,0.093,61.0091,284,0.0673,34.8592,0,,,0
11.75,1115,0.064,59.833,139,0.0293,74.3295,408,0.0893,64.3395,339,0.093,60.4027,229,0.0443,42.1415,0,,,0
12,1160,0.0653,61.1255,160,0.0353,71.5406,430,0.0957,63.6665,341,0.0917,60.5402,229,0.0377,50.0328,0,,,0
12.25,1202,0.0717,58.6948,148,0.0313,73.3419,440,0.0937,65.3945,341,0.0953,58.7789,273,0.0663,39.9103,0,,,0
12.5,1189,0.071,57.6331,119,0.0257,73.2681,421,0.091,65.4924,364,0.099,60.0036,285,0.0683,36.56,0,,,0
12.75,1176,0.0707,58.2791,136,0.0287,74.2735,423,0.0917,65.2894,359,0.0953,61.807,258,0.067,33.369,0,,,0
13,1203,0.073,57.8861,148,0.032,73.1426,441,0.096,64.8533,353,0.0923,62.1705,261,0.0713,31.5586,0,,,0
13.25,1254,0.077,56.8479,165,0.036,72.3145,441,0.0993,62.8834,379,0.101,61.3032,269,0.072,31.2119,0,,,0
13.5,1258,0.074,58.5207,170,0.036,73.4482,443,0.0963,64.4605,367,0.0933,63.7114,278,0.0703,33.1076,0,,,0
13.75,1331,0.0803,57.5906,195,0.0423,72.1236,460,0.101,64.022,381,0.104,60.9291,295,0.0727,33.6078,0,,,0
14,1384,0.081,58.6647,215,0.047,72.7209,495,0.1087,64.3293,386,0.1047,60.1806,288,0.065,36.3715,0,,,0
14.25,1372,0.0767,60.8644,215,0.0463,74.1763,479,0.1047,64.2599,392,0.102,62.4296,286,0.054,43.0084,0,,,0
