00.00,402376,183,0.0115,63.83333333,4,0.000666667,74.86666667,22,0.003933333,70.93333333,88,0.0273,62.33333333,69,0.014066667,62.86666667
00.15,402376,274,0.0161,64.46666667,15,0.002666667,74.83333333,53,0.009533333,70.83333333,108,0.031966667,62.2,98,0.020233333,62.6
00.30,402376,483,0.0269,64.4,44,0.007533333,74.76666667,114,0.020966667,69.9,151,0.0415,61.43333333,174,0.037566667,60.8
00.45,402376,451,0.0251,64.06666667,37,0.006433333,74.66666667,116,0.021533333,69.1,153,0.0417,60.8,145,0.030666667,60.9
01.00,402376,385,0.021933333,64.0,20,0.003866667,74.53333333,92,0.017133333,69.63333333,136,0.037933333,61.26666667,137,0.0287,61.46666667
01.15,402376,374,0.020933333,64.53333333,19,0.003133333,74.73333333,93,0.016766667,70.13333333,134,0.037233333,61.66666667,128,0.026733333,62.0
01.30,402376,294,0.0169,64.36666667,14,0.002333333,74.8,56,0.010133333,70.4,120,0.033833333,61.9,104,0.0211,62.5
01.45,402376,257,0.015266667,64.36666667,15,0.002433333,74.9,40,0.007566667,70.53333333,104,0.030833333,61.93333333,98,0.020133333,62.8
02.00,402376,261,0.0152,64.5,8,0.001366667,74.8,46,0.0084,70.63333333,106,0.031,62.2,101,0.02,63.16666667
02.15,402376,261,0.015733333,64.16666667,10,0.001566667,74.83333333,41,0.007433333,70.66666667,107,0.032233333,62.03333333,103,0.0217,62.66666667
02.30,402376,244,0.0144,64.16666667,8,0.001333333,74.9,44,0.007666667,70.8,102,0.0303,62.06666667,90,0.018233333,62.43333333
02.45,402376,213,0.012866667,64.6,8,0.001266667,74.8,42,0.0075,70.8,96,0.029,62.2,67,0.0136,62.86666667
03.00,402376,181,0.011466667,63.73333333,2,0.000266667,74.9,23,0.0042,70.86666667,89,0.027666667,62.33333333,67,0.013733333,62.76666667
03.15,402376,177,0.011366667,63.53333333,3,0.0005,74.8,18,0.003333333,70.83333333,87,0.027533333,62.26666667,69,0.014166667,62.76666667
03.30,402376,192,0.011633333,64.6,10,0.0015,74.93333333,33,0.005566667,70.93333333,90,0.0276,62.33333333,59,0.011866667,62.86666667
03.45,402376,162,0.010433333,63.63333333,2,0.0003,75.16666667,18,0.0034,70.83333333,86,0.0268,62.33333333,56,0.011266667,62.86666667
04.00,402376,147,0.009433333,63.76666667,6,0.001066667,74.76666667,12,0.002066667,70.93333333,81,0.025533333,62.33333333,48,0.0091,63.0
04.15,402376,152,0.009833333,63.6,2,0.0004,74.66666667,15,0.0029,70.83333333,81,0.0257,62.33333333,54,0.0103,63.16666667
04.30,402376,169,0.010533333,64.13333333,4,0.000633333,74.7,25,0.004633333,70.8,87,0.026966667,62.33333333,53,0.010033333,63.16666667
04.45,402376,181,0.0114,64.2,9,0.001566667,74.76666667,26,0.004533333,70.86666667,89,0.027466667,62.26666667,57,0.012,62.66666667
05.00,402376,156,0.009933333,63.63333333,4,0.0008,74.63333333,15,0.002366667,71.13333333,81,0.025566667,62.4,56,0.011,62.73333333
05.15,402376,164,0.0103,63.73333333,5,0.0007,75.0,15,0.002266667,71.26666667,83,0.026133333,62.46666667,61,0.012066667,62.7
05.30,402376,179,0.011033333,64.0,8,0.001333333,74.8,19,0.003033333,71.2,84,0.0263,62.46666667,68,0.0135,62.66666667
05.45,402376,199,0.012033333,64.13333333,9,0.0014,75.0,25,0.004,71.2,92,0.0278,62.4,73,0.0149,62.46666667
06.00,402376,198,0.012133333,64.0,6,0.000966667,74.9,26,0.004566667,71.03333333,93,0.028333333,62.43333333,73,0.0147,62.63333333
06.15,402376,217,0.012966667,64.0,10,0.001666667,74.8,26,0.0046,70.93333333,98,0.028966667,62.43333333,83,0.0168,62.43333333
06.30,402376,242,0.014566667,64.5,12,0.002066667,74.76666667,48,0.008566667,70.86666667,103,0.0309,62.13333333,79,0.016666667,62.3
06.45,402376,224,0.013233333,64.3,8,0.001333333,74.83333333,38,0.006566667,71.03333333,96,0.0289,62.2,82,0.016266667,62.63333333
07.00,402376,224,0.013633333,63.8,6,0.000933333,74.9,29,0.005433333,70.86666667,98,0.029366667,62.26666667,91,0.018766667,62.56666667
07.15,402376,199,0.012066667,64.2,11,0.001733333,74.86666667,23,0.003833333,71.0,90,0.027766667,62.36666667,75,0.014866667,62.76666667
07.30,402376,238,0.0136,64.93333333,19,0.002833333,75.0,32,0.005033333,71.2,99,0.0291,62.56666667,88,0.017366667,63.13333333
07.45,402376,254,0.0149,64.1,11,0.001933333,74.93333333,28,0.004466667,71.3,108,0.031766667,62.6,107,0.021533333,62.76666667
08.00,402376,231,0.0139,63.73333333,3,0.000533333,74.83333333,27,0.0049,70.96666667,101,0.0302,62.4,100,0.019966667,62.8
08.15,402376,275,0.015966667,64.13333333,12,0.001766667,74.93333333,39,0.006666667,70.93333333,108,0.031533333,62.5,116,0.023966667,62.3
08.30,402376,294,0.016933333,64.1,19,0.003333333,74.73333333,40,0.006866667,70.93333333,115,0.032866667,62.26666667,120,0.024666667,62.0
08.45,402376,329,0.0188,64.56666667,21,0.003766667,74.63333333,59,0.010766667,70.53333333,118,0.0341,62.2,131,0.026466667,62.36666667
09.00,402376,330,0.018633333,64.36666667,15,0.0024,74.8,56,0.009433333,71.06666667,121,0.0342,62.23333333,138,0.028466667,62.46666667
09.15,402376,349,0.019333333,64.86666667,25,0.0042,74.8,64,0.0112,70.96666667,127,0.0351,62.43333333,133,0.026933333,62.4
09.30,402376,445,0.0243,64.93333333,28,0.004466667,74.9,88,0.016033333,70.66666667,147,0.039733333,62.16666667,182,0.037033333,62.8
