Week 4:	    (0, 0, 2)(1, 1, 2)
Week 5:	    (2, 0, 2)(1, 1, 1)
Week 6:	    (2, 0, 2)(2, 1, 2)
Week 7:	    (2, 0, 2)(1, 1, 2)
Week 8:	    (1, 0, 0)(2, 1, 2)
Week 9:	    (1, 0, 2)(2, 1, 1)
Week 10:	(1, 0, 1)(1, 1, 1)
Week 11:	(2, 0, 0)(1, 1, 1)
Week 12:	(2, 0, 0)(2, 1, 2)
Week 13:	(0, 0, 2)(1, 1, 1)
Week 14:	(0, 0, 2)(1, 1, 2)
Week 15:	(2, 0, 1)(2, 1, 2)
Week 16:	(0, 0, 1)(2, 1, 1)
Week 17:	(2, 0, 2)(1, 1, 2)
Week 18:	(2, 0, 1)(2, 1, 2)
Week 19:	(2, 0, 2)(2, 1, 1)
Week 20:	(0, 0, 2)(1, 1, 1)
Week 21:	(1, 0, 2)(1, 1, 2)
Week 22:	(2, 0, 2)(1, 1, 1)
Week 23:	(2, 0, 2)(2, 1, 2)
Week 24:	(0, 0, 2)(2, 1, 1)
Week 25:	(2, 0, 2)(2, 1, 1)
Week 26:	(1, 0, 2)(1, 1, 2)
Week 27:	(0, 0, 2)(2, 1, 1)
Week 28:	(0, 0, 0)(2, 1, 2)
Week 29:	(1, 0, 0)(1, 1, 1)
Week 30:	(1, 0, 2)(1, 1, 1)
Week 31:	(0, 0, 1)(2, 1, 2)
Week 32:	(1, 0, 2)(1, 1, 2)
Week 33:	(0, 0, 1)(1, 1, 1)
Week 34:	(0, 0, 2)(1, 1, 2)
Week 35:	(1, 0, 0)(2, 1, 1)
Week 36:	(0, 0, 1)(2, 1, 1)
Week 37:	(1, 0, 1)(1, 1, 1)
Week 38:	(0, 0, 2)(1, 1, 1)
Week 39:	(0, 0, 2)(1, 1, 1)
Week 40:	(1, 0, 2)(1, 1, 2)
Week 41:	(1, 0, 2)(2, 1, 2)
Week 42:	(1, 0, 2)(2, 1, 1)
Week 43:	(2, 0, 1)(2, 1, 1)
Week 44:	(1, 0, 0)(2, 1, 1)
Week 45:	(1, 0, 1)(1, 1, 1)
Week 46:	(1, 0, 1)(2, 1, 2)
Week 47:	(0, 0, 2)(1, 1, 1)
Week 48:	(2, 0, 2)(1, 1, 1)
Week 49:	(1, 0, 0)(1, 1, 1)
Week 50:	(1, 0, 2)(1, 1, 2)
Week 51:	(2, 0, 2)(2, 1, 2)
Week 52:	(1, 0, 0)(2, 1, 1)
Week 53:	(2, 0, 1)(2, 1, 2)
Week 54:	(0, 0, 0)(1, 1, 2)
Week 55:	(1, 0, 0)(2, 1, 2)
Week 56:	(0, 0, 1)(2, 1, 1)
Week 57:	(0, 0, 2)(2, 1, 1)
Week 58:	(2, 0, 2)(1, 1, 2)
Week 59:	(1, 0, 1)(1, 1, 1)
Week 60:	(0, 0, 0)(2, 1, 1)
