Station,Freeway,Direction,Lane Type,Latitude,Longitude,Abs_PM,Location,Lanes
761325,210,W,HV,34.148074,-118.08377,29.17,SIERRA MADRE V1,1
761431,210,W,HV,34.148737,-118.071321,29.879,ROSEMEAD 1,1
763610,134,W,HV,34.142896,-118.172193,12.253,SAN RAFAEL,1
763612,134,W,HV,34.142674,-118.184801,11.473,FIGUEROA,1
763614,210,E,HV,34.15099,-118.152369,25.12,FAIR OAKS 1,1
763878,210,E,FR,34.152216,-118.156144,24.81,WALNUT,1
763908,210,E,FR,34.152385,-118.0979,28.28,SIERRA MADRE BLVD,2
764135,210,W,HV,34.152092,-118.143249,25.68,MARENGO,1
764137,210,W,ML,34.152092,-118.143249,25.68,MARENGO,6
764346,210,W,FR,34.152648,-118.109062,27.64,ALLEN,2
764349,210,W,FR,34.152092,-118.143249,25.68,MARENGO,1
768916,210,E,FF,34.15099,-118.152369,25.12,NB 710 EXT TO EB 210,2
768920,210,W,FR,34.151995,-118.129451,26.47,LAKE 2 - OFF,2
768923,210,E,FR,34.147544,-118.081868,29.28,SIERRA MADRE VILLA,2
768927,210,W,FR,34.152365,-118.092642,28.58,SAN GABRIEL OFF,1
769269,210,E,FR,34.15167,-118.137983,25.98,LAKE AVE OFF(LAKE 1),2
769272,210,E,FR,34.151855,-118.125787,26.68,HILL AVE OFF,1
769300,210,W,FR,34.152008,-118.153813,24.98,WB 210 TO ORANGE GRV,1
769788,210,E,ML,34.189219,-118.180753,21.58,BERKSHIRE,4
769789,210,E,FR,34.189219,-118.180753,21.58,BERKSHIRE,1
769790,210,E,OR,34.189219,-118.180753,21.58,BERKSHIRE,1
769806,210,E,ML,34.196934,-118.185042,20.98,FOOTHILL,4
769807,210,W,ML,34.197068,-118.184827,20.98,FOOTHILL,4
769808,210,W,FR,34.197068,-118.184827,20.98,FOOTHILL,1
769809,210,E,OR,34.196934,-118.185042,20.98,FOOTHILL,1
769819,210,E,ML,34.205892,-118.198234,19.98,ANGELES CREST HWY NB,4
769820,210,E,OR,34.205892,-118.198234,19.98,ANGELES CREST HWY NB,1
769831,210,E,ML,34.206745,-118.201533,19.78,ANGELES CREST HWY SB,4
769832,210,E,OR,34.206745,-118.201533,19.78,ANGELES CREST HWY SB,1
769833,210,E,FR,34.206745,-118.201533,19.78,ANGELES CREST HWY SB,1
769847,210,E,ML,34.211728,-118.228265,18.18,OCEAN VIEW,4
769848,210,E,OR,34.211728,-118.228265,18.18,OCEAN VIEW,1
769849,210,E,FF,34.211728,-118.228265,18.18,OCEAN VIEW,3
769850,210,E,FR,34.211728,-118.228265,18.18,OCEAN VIEW,1
769866,210,E,ML,34.218398,-118.239738,17.38,LA CRESCENTA,4
769867,210,W,ML,34.218652,-118.239558,17.38,LA CRESCENTA,4
769868,210,E,OR,34.218398,-118.239738,17.38,LA CRESCENTA,1
769869,210,W,FR,34.218652,-118.239558,17.38,LA CRESCENTA,1
769880,210,E,ML,34.221426,-118.245718,16.98,PENNSYLVANIA,4
769881,210,E,OR,34.221426,-118.245718,16.98,PENNSYLVANIA,1
769882,210,E,FR,34.221426,-118.245718,16.98,PENNSYLVANIA,1
769895,210,E,ML,34.230849,-118.265101,15.68,LOWELL / HONOLULU,4
769896,210,E,OR,34.230849,-118.265101,15.68,LOWELL / HONOLULU,2
769897,210,E,FR,34.230849,-118.265101,15.68,LOWELL / HONOLULU,1
769898,210,E,FR,34.230849,-118.265101,15.68,LOWELL / HONOLULU,2
769911,210,W,ML,34.224897,-118.251344,16.58,PENNSYLVANIA,5
769912,210,W,OR,34.224897,-118.251344,16.58,PENNSYLVANIA,1
769913,210,W,FR,34.224897,-118.251344,16.58,PENNSYLVANIA,1
769926,210,W,ML,34.214462,-118.232443,17.88,OCEAN VIEW,6
769927,210,W,OR,34.214462,-118.232443,17.88,OCEAN VIEW,1
769928,210,W,FR,34.214462,-118.232443,17.88,OCEAN VIEW,1
769941,210,W,ML,34.207101,-118.204943,19.58,ANGELES CREST HWY SB,4
769942,210,W,OR,34.207101,-118.204943,19.58,ANGELES CREST HWY SB,2
769953,210,W,ML,34.206998,-118.201441,19.78,ANGELES CREST HWY NB,4
769954,210,W,OR,34.206998,-118.201441,19.78,ANGELES CREST HWY NB,1
769955,210,W,FR,34.206998,-118.201441,19.78,ANGELES CREST HWY NB,1
769965,210,W,ML,34.232554,-118.271772,15.28,HONOLULU,4
769966,210,W,OR,34.232554,-118.271772,15.28,HONOLULU,1
769983,210,W,ML,34.203186,-118.191671,20.4,GOULD,4
769984,210,E,ML,34.202989,-118.191827,20.4,GOULD,4
769985,210,W,OR,34.203186,-118.191671,20.4,GOULD,1
769986,210,E,FR,34.202989,-118.191827,20.4,GOULD,1
769998,210,W,FR,34.19198,-118.181214,21.39,BERKSHIRE,1
769999,210,W,OR,34.19198,-118.181214,21.39,BERKSHIRE,1
770000,210,W,ML,34.19198,-118.181214,21.39,BERKSHIRE,4
770116,210,E,ML,34.234317,-118.286992,14.39,LA TUNA CANYON,4
770117,210,E,OR,34.234317,-118.286992,14.39,LA TUNA CANYON,1
770118,210,E,FR,34.234317,-118.286992,14.39,LA TUNA CANYON,1
770129,210,W,ML,34.234984,-118.290562,14.18,LA TUNA CANYON NB,4
770130,210,W,OR,34.234984,-118.290562,14.18,LA TUNA CANYON NB,1
770131,210,W,FR,34.234984,-118.290562,14.18,LA TUNA CANYON NB,1
770141,210,W,ML,34.234987,-118.294031,13.98,LA TUNA CANYON SB,4
770142,210,W,OR,34.234987,-118.294031,13.98,LA TUNA CANYON SB,1
770165,210,W,OR,34.155945,-118.157667,24.49,EB 134 TO WB 210 CON,1
770170,210,E,FF,34.155812,-118.158089,24.49,EB 210 TO WB 134 #1,1
770385,210,E,ML,34.206925,-118.21372,19.08,EB/NB 2 TO EB 210 CN,4
770386,210,W,ML,34.207155,-118.2137,19.08,EB/NB 2 TO EB 210 CN,4
770387,210,E,OR,34.206925,-118.21372,19.08,EB/NB 2 TO EB 210 CN,2
770388,210,W,FF,34.207155,-118.2137,19.08,EB/NB 2 TO EB 210,2
770401,210,W,ML,34.211095,-118.225948,18.32,EB/NB 2 TO WB 210 CN,4
770402,210,W,OR,34.211095,-118.225948,18.32,EB/NB 2 TO WB 210 CN,3
770568,210,W,ML,34.165953,-118.157943,23.79,HAMMOND ST.,4
770578,210,E,ML,34.156489,-118.158295,24.442,WINONA WAY,2
770579,210,W,ML,34.156597,-118.157944,24.442,WINONA WAY,4
773131,210,E,FF,34.15154,-118.146708,25.48,FAIR OAKS OFF,2
773132,210,W,FR,34.152216,-118.146794,25.48,FAIR OAKS OFF,2
773975,134,W,ML,34.14568,-118.221874,9.213,OAKVIEW,4
773977,134,W,HV,34.14568,-118.221874,9.213,OAKVIEW,1
773979,134,W,FF,34.14568,-118.221874,9.213,OAKVIEW,2
773980,134,W,FF,34.14568,-118.221874,9.213,OAKVIEW,1
773996,134,W,ML,34.145076,-118.215608,9.573,FM 2 NB TO 134 EB,5
773998,134,W,HV,34.145076,-118.215608,9.573,FM 2 NB TO 134 EB,1
774012,134,W,ML,34.148107,-118.197509,10.643,TOWNSEND,4
774014,134,W,HV,34.148107,-118.197509,10.643,TOWNSEND,1
774032,134,W,ML,34.141843,-118.182666,11.623,COLORADO,4
774034,134,W,HV,34.141843,-118.182666,11.623,COLORADO,1
774037,134,W,FR,34.141843,-118.182666,11.623,COLORADO,2
774053,134,W,ML,34.15084,-118.234258,8.403,FM 2 SB TO 134,4
774055,134,W,HV,34.15084,-118.234258,8.403,FM 2 SB TO 134,1
774057,134,W,FF,34.15084,-118.234258,8.403,FM 2 SB TO 134,1
775725,210,W,FF,34.155945,-118.157667,24.49,WB 210 CON,2
775729,210,E,FF,34.155812,-118.158089,24.49,EB 210 CON,2
776724,210,E,FF,34.156489,-118.158295,24.442,WINONA WAY,2
776761,210,W,FR,34.176444,-118.162183,22.982,LINCOLN 1,3
