epoch,loss,bestLoss
1,8.510324298723043,8.510324298723043
2,8.31762020086759,8.31762020086759
3,7.90761023941566,7.90761023941566
4,7.33686089792445,7.33686089792445
5,6.702944360447415,6.702944360447415
6,6.124770167938351,6.124770167938351
7,5.692916872881823,5.692916872881823
8,5.0595398467538075,5.0595398467538075
9,4.698075198708833,4.698075198708833
10,4.229179404895298,4.229179404895298
11,3.9291548329903687,3.9291548329903687
12,3.5658461158625308,3.5658461158625308
13,3.1402844281657614,3.1402844281657614
14,2.966570120699273,2.966570120699273
15,2.8446699277542105,2.8446699277542105
16,2.6034494305033102,2.6034494305033102
17,2.5648738332842833,2.5648738332842833
18,2.413368243398551,2.413368243398551
19,2.284318760118014,2.284318760118014
20,2.14166703384618,2.14166703384618
21,2.0057943614942335,2.0057943614942335
22,1.9325431863973541,1.9325431863973541
23,1.9151369204267865,1.9151369204267865
24,1.9457678214790193,1.9151369204267865
25,1.8085460405505582,1.8085460405505582
26,1.8675476032108895,1.8085460405505582
27,1.6651159128365915,1.6651159128365915
28,1.7581028749020273,1.6651159128365915
29,1.5849134588432738,1.5849134588432738
30,1.7133691715942296,1.5849134588432738
31,1.576261505331,1.576261505331
32,1.4623212301293507,1.4623212301293507
33,1.563333087623015,1.4623212301293507
34,1.4031720960191607,1.4031720960191607
35,1.5159214696467231,1.4031720960191607
36,1.3678182137927073,1.3678182137927073
37,1.3426084193686105,1.3426084193686105
38,1.315355276449031,1.315355276449031
39,1.3980582727499984,1.315355276449031
40,1.369607671726235,1.315355276449031
41,1.1767513572601487,1.1767513572601487
42,1.2156356099946886,1.1767513572601487
43,1.206588336976736,1.1767513572601487
44,1.1340215721548919,1.1340215721548919
45,1.2316708235345788,1.1340215721548919
46,1.1883000304716076,1.1340215721548919
47,1.2112322590612645,1.1340215721548919
48,1.043464397983224,1.043464397983224
49,1.0354124027304168,1.0354124027304168
50,1.1673618450484795,1.0354124027304168
51,1.1960349328316353,1.0354124027304168
52,1.0664182895045824,1.0354124027304168
53,1.1748875662776974,1.0354124027304168
54,1.1759415077792659,1.0354124027304168
55,1.0752113494004685,1.0354124027304168
56,1.121982543006693,1.0354124027304168
57,0.9693488870655751,0.9693488870655751
58,1.0521188255903513,0.9693488870655751
59,0.9534559958165026,0.9534559958165026
60,0.9765021470667283,0.9534559958165026
61,1.1221150901407486,0.9534559958165026
62,1.1277475417947966,0.9534559958165026
63,1.0624364194024025,0.9534559958165026
64,0.9877255494072481,0.9534559958165026
65,1.0191593502014196,0.9534559958165026
66,1.1124560837863398,0.9534559958165026
67,1.0388376166546973,0.9534559958165026
68,1.1277119277278431,0.9534559958165026
69,1.008817822002731,0.9534559958165026
70,1.0420275020795458,0.9534559958165026
71,0.9992987087085407,0.9534559958165026
72,1.0787420739248328,0.9534559958165026
73,1.0316581207075748,0.9534559958165026
74,1.0102090615337498,0.9534559958165026
75,0.9970860122868538,0.9534559958165026
76,1.026691438995508,0.9534559958165026
77,1.04128365269103,0.9534559958165026
78,0.935456040943281,0.935456040943281
79,1.0529081818678951,0.935456040943281
80,1.0963909861305965,0.935456040943281
81,1.0231312150758527,0.935456040943281
82,1.02756326602179,0.935456040943281
83,0.9759006158298404,0.935456040943281
84,0.9344766571317177,0.9344766571317177
85,1.0258105630866987,0.9344766571317177
86,0.9441638382822486,0.9344766571317177
87,0.9861646056969492,0.9344766571317177
88,0.9631719639485739,0.9344766571317177
89,0.9299489113424543,0.9299489113424543
90,1.0082021016798233,0.9299489113424543
91,1.0978033829924547,0.9299489113424543
92,0.9726427405963662,0.9299489113424543
93,1.101992016224806,0.9299489113424543
94,0.9986406742969484,0.9299489113424543
95,1.1005040665894124,0.9299489113424543
96,0.9150684050242975,0.9150684050242975
97,1.022771114061599,0.9150684050242975
98,0.9052303010869576,0.9052303010869576
99,0.9524474584081694,0.9052303010869576
100,1.032252191810459,0.9052303010869576
