409872.csv, Junction, 37.052834, -121.581531, 3513.738337306106, 6617.9900330381, yes
410515.csv, Junction, 37.057774, -121.583661, 3324.8647347325036, 6068.686336683909, no
410106.csv, Junction, 37.060792, -121.584968, 3208.969054656355, 5733.099584539407, yes
421640.csv, Junction, 37.066694, -121.587509, 2983.6508273622285, 5076.826221001212, no
401592.csv, Junction, 37.070515, -121.589243, 2829.8917537184807, 4651.949819428652, yes
409856.csv, Junction, 37.071597, -121.58977, 2783.161054865475, 4531.636742616336, yes
402321.csv, Junction, 37.081974, -121.595454, 2279.1434224595314, 3377.765395032364, no
410108.csv, Junction, 37.087426, -121.598455, 2013.0355908535455, 2771.529817599339, yes
409859.csv, Junction, 37.089952, -121.599842, 1890.0460665495768, 2490.6510449298758, yes
409880.csv, Junction, 37.097388, -121.60395, 1525.7771654369944, 1663.8044283127078, yes
402327.csv, Junction, 37.103108, -121.60944, 1038.9621052835796, 1027.768569377276, no
409877.csv, Junction, 37.107061, -121.614493, 590.8971692278172, 588.2144172138137, yes
402328.csv, Junction, 37.112261, -121.621044, 10.0, 10.0, no
