28.0,22.0
31.0,18.0
30.0,34.0
33.0,43.0
39.0,47.0
31.0,33.0
27.0,26.0
16.0,17.0
32.0,23.0
30.0,16.0
22.0,20.0
28.0,12.0
23.0,16.0
27.0,15.0
26.0,21.0
21.0,25.0
26.0,34.0
12.0,22.0
24.0,33.0
28.0,36.0
20.0,39.0
20.0,41.0
22.0,31.0
19.0,45.0
28.0,25.0
26.0,37.0
14.0,39.0
30.0,35.0
35.0,27.0
37.0,25.0
30.0,25.0
41.0,20.0
35.0,23.0
36.0,13.0
26.0,15.0
35.0,26.0
38.0,24.0
58.0,52.0
68.0,56.0
54.0,67.0
66.0,79.0
87.0,101.0
75.0,97.0
83.0,119.0
90.0,125.0
90.0,133.0
95.0,136.0
84.0,172.0
104.0,198.0
123.0,221.0
147.0,224.0
172.0,265.0
204.0,262.0
228.0,276.0
255.0,289.0
267.0,316.0
283.0,302.0
314.0,334.0
334.0,330.0
325.0,312.0
341.0,373.0
360.0,364.0
389.0,378.0
397.0,339.0
406.0,390.0
363.0,364.0
378.0,373.0
369.0,371.0
370.0,354.0
379.0,381.0
354.0,349.0
354.0,361.0
356.0,342.0
370.0,330.0
356.0,339.0
328.0,300.0
337.0,288.0
321.0,294.0
302.0,323.0
318.0,305.0
326.0,306.0
326.0,324.0
338.0,272.0
330.0,292.0
316.0,309.0
341.0,275.0
315.0,314.0
349.0,333.0
378.0,276.0
308.0,282.0
318.0,303.0
307.0,301.0
309.0,322.0
339.0,314.0
287.0,310.0
297.0,308.0
286.0,339.0
320.0,331.0
311.0,319.0
304.0,335.0
293.0,323.0
280.0,320.0
298.0,377.0
286.0,330.0
318.0,358.0
267.0,379.0
308.0,323.0
280.0,320.0
287.0,330.0
248.0,318.0
243.0,345.0
266.0,302.0
238.0,326.0
289.0,306.0
263.0,329.0
251.0,278.0
249.0,311.0
257.0,335.0
264.0,295.0
244.0,295.0
230.0,285.0
236.0,312.0
259.0,271.0
276.0,256.0
241.0,256.0
245.0,291.0
246.0,264.0
264.0,265.0
233.0,265.0
226.0,253.0
210.0,272.0
240.0,255.0
249.0,256.0
220.0,220.0
233.0,252.0
242.0,261.0
231.0,248.0
244.0,257.0
241.0,251.0
236.0,257.0
230.0,245.0
213.0,237.0
229.0,243.0
242.0,249.0
211.0,255.0
244.0,260.0
233.0,266.0
232.0,232.0
235.0,242.0
209.0,221.0
223.0,282.0
216.0,265.0
243.0,251.0
239.0,237.0
250.0,259.0
236.0,249.0
210.0,231.0
234.0,243.0
213.0,211.0
269.0,204.0
252.0,230.0
238.0,186.0
238.0,215.0
252.0,210.0
245.0,203.0
234.0,200.0
247.0,196.0
219.0,171.0
219.0,187.0
239.0,157.0
212.0,174.0
236.0,157.0
263.0,163.0
253.0,158.0
251.0,154.0
231.0,141.0
222.0,130.0
248.0,147.0
225.0,131.0
244.0,138.0
218.0,133.0
243.0,143.0
228.0,122.0
234.0,142.0
256.0,137.0
228.0,131.0
239.0,161.0
256.0,136.0
233.0,124.0
243.0,143.0
205.0,130.0
193.0,142.0
224.0,120.0
261.0,134.0
241.0,131.0
221.0,150.0
246.0,180.0
225.0,165.0
257.0,168.0
229.0,153.0
270.0,169.0
238.0,174.0
251.0,160.0
233.0,170.0
212.0,181.0
207.0,164.0
242.0,191.0
256.0,177.0
234.0,174.0
224.0,182.0
237.0,177.0
218.0,147.0
199.0,159.0
239.0,148.0
220.0,154.0
209.0,164.0
181.0,163.0
212.0,154.0
197.0,140.0
194.0,146.0
196.0,139.0
176.0,151.0
173.0,119.0
162.0,132.0
168.0,121.0
174.0,116.0
144.0,118.0
138.0,135.0
145.0,103.0
134.0,108.0
133.0,92.0
158.0,94.0
161.0,77.0
139.0,76.0
124.0,81.0
127.0,94.0
140.0,76.0
138.0,83.0
136.0,58.0
123.0,69.0
124.0,53.0
124.0,54.0
119.0,67.0
119.0,65.0
130.0,62.0
109.0,65.0
98.0,63.0
95.0,54.0
105.0,64.0
116.0,54.0
91.0,64.0
76.0,65.0
89.0,55.0
112.0,72.0
101.0,68.0
86.0,56.0
93.0,81.0
94.0,65.0
88.0,64.0
67.0,54.0
81.0,59.0
68.0,46.0
77.0,57.0
72.0,38.0
88.0,41.0
69.0,44.0
73.0,37.0
65.0,40.0
70.0,28.0
64.0,34.0
58.0,25.0
62.0,25.0
60.0,29.0
50.0,21.0
52.0,30.0
47.0,33.0
42.0,25.0
43.0,39.0
52.0,50.0
51.0,32.0
45.0,32.0
26.0,36.0
43.0,31.0
37.0,18.0
31.0,15.0
29.0,7.0
24.0,14.0
27.0,36.0
