68.3,66.7,66.7,68.3,66.4,65.6,66.1,65.5,64.8,65.4,68.3,68.3,65.6,64.9,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3
68.0,65.1,65.7,68.0,64.9,65.4,66.9,65.7,65.8,65.7,68.0,68.0,65.9,65.8,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
67.8,65.0,65.7,67.8,65.4,65.9,66.3,64.9,64.7,65.5,67.8,67.8,65.9,65.2,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8
67.8,65.1,66.7,67.8,65.4,66.0,67.9,65.3,65.3,65.3,67.8,67.8,64.9,65.6,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8
67.7,65.8,68.1,67.7,65.5,66.0,66.6,65.0,65.8,64.7,67.7,67.7,65.8,65.4,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7
67.7,65.5,66.6,67.7,65.1,66.0,66.5,64.6,65.6,65.5,67.7,67.7,64.7,65.6,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7
67.5,65.6,66.7,67.5,65.2,66.2,67.4,66.4,65.0,65.5,67.5,67.5,65.8,66.0,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5
67.4,65.2,65.6,67.4,65.4,66.1,66.2,65.8,65.4,65.7,67.4,67.4,64.9,65.6,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4
67.5,65.1,65.7,67.5,65.3,65.6,67.5,66.5,64.8,65.1,67.5,67.5,65.0,66.3,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5
67.5,65.2,65.8,67.5,65.5,65.1,65.4,64.9,64.8,65.0,67.5,67.5,64.6,65.1,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5
