1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,197,151,78,72,164,139,79,76,155,136,77,90,145,118,71,92,139,117,68
45,239,180,97,87,216,170,101,97,201,165,101,120,190,167,89,125,182,168,85
70,358,228,118,151,291,211,131,154,282,210,129,178,292,190,111,178,292,186,113
91,362,286,141,181,306,279,167,182,306,282,165,201,334,251,138,202,327,248,137
94,426,260,172,170,356,263,182,173,355,260,185,216,362,249,155,221,362,254,147
151,496,353,218,232,448,339,237,230,446,327,231,270,449,338,180,271,439,333,181
302,520,383,229,339,521,367,283,334,517,378,282,360,551,378,237,357,553,383,234
331,443,378,320,349,460,398,339,346,464,398,335,356,494,427,298,356,500,420,298
337,416,351,320,347,433,383,331,353,430,386,334,352,486,397,286,357,480,394,284
333,399,329,312,357,404,360,349,358,404,358,349,355,443,395,297,358,446,401,296
337,402,334,307,357,418,343,344,350,418,342,339,365,449,412,258,368,447,413,256
276,392,326,294,306,395,342,307,308,394,340,311,340,420,360,259,338,420,359,259
193,435,344,266,251,422,334,293,259,428,332,293,286,449,347,242,295,447,346,240
100,420,325,205,195,368,330,227,200,357,333,233,242,375,321,203,239,372,320,207
119,402,325,203,195,345,317,232,194,343,319,229,226,363,300,196,230,370,296,195
119,449,347,186,214,385,340,211,214,388,338,215,255,396,343,175,254,388,347,178
93,402,301,196,188,339,301,227,197,333,302,222,244,331,313,171,249,336,310,169
104,420,304,195,183,365,306,222,191,365,308,224,220,380,326,180,224,373,327,177
102,426,290,188,191,371,282,223,190,367,282,225,229,377,270,199,230,379,273,199
105,403,317,196,184,350,308,234,183,346,302,233,233,364,291,200,234,355,290,202
80,423,332,210,177,359,321,235,180,354,321,231,216,383,310,181,218,387,305,180
104,430,310,205,204,375,300,251,206,373,302,253,240,371,319,210,243,370,317,208
100,427,315,215,196,361,325,234,197,368,326,235,248,366,343,195,254,367,345,196
107,457,349,209,208,387,342,228,210,379,343,227,238,393,330,192,235,392,337,187
114,466,308,201,215,395,314,224,210,392,312,227,256,398,342,194,260,392,338,188
111,463,348,222,210,410,362,228,218,410,365,229,255,439,333,207,254,438,336,210
141,444,334,188,216,391,329,215,217,394,326,211,263,414,305,184,261,420,300,182
157,471,357,216,236,430,352,243,233,426,349,242,267,429,357,201,271,422,355,206
140,467,350,235,225,412,357,263,228,411,360,263,276,413,367,223,276,419,370,217
184,522,357,254,271,463,360,284,269,464,359,284,308,461,379,229,311,459,377,231
177,492,369,240,254,461,363,282,255,452,360,282,293,478,365,248,297,474,363,244
242,510,376,259,294,487,363,292,289,493,367,289,313,517,384,238,314,516,384,241
266,506,377,283,300,516,376,326,303,514,381,327,322,547,389,274,322,547,396,271
273,443,366,326,322,427,367,356,322,437,360,354,355,481,368,288,360,477,370,283
305,418,346,305,333,411,360,343,332,410,366,343,359,427,383,300,355,431,382,297
323,371,334,306,328,407,345,319,327,402,342,318,306,484,379,261,308,479,384,262
346,364,313,298,341,394,337,320,340,391,336,321,329,428,380,267,330,432,375,263
311,391,353,279,321,413,365,311,322,420,365,316,316,478,391,279,319,473,392,279
328,356,320,306,347,379,334,332,347,378,334,330,350,409,371,284,344,408,373,286
337,380,322,286,351,392,344,313,346,386,343,310,356,444,365,261,356,455,367,261
280,357,280,266,307,353,291,296,314,357,293,298,329,393,313,255,332,388,320,247
307,366,331,326,314,388,339,339,312,391,338,338,306,444,349,289,308,438,346,286
281,341,307,266,305,358,329,279,309,357,330,283,320,412,322,247,319,421,321,251
279,374,306,290,295,383,326,289,295,382,322,288,314,417,332,257,317,415,340,252
286,401,318,246,311,401,313,269,309,401,312,270,313,442,311,241,308,438,306,236
283,389,313,249,313,388,326,251,313,388,334,251,315,442,344,218,324,443,353,218
255,387,314,266,307,362,325,278,305,357,324,279,296,412,347,235,296,411,347,232
213,291,237,176,250,325,242,216,259,343,251,224,291,368,288,192,296,379,295,200
