S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
106,462,337,189,106,459,341,246,105,462,337,245,103,462,337,262,104,461,334,260,26.91,23.74,21.88,20.43,25.10,23.89,21.54,19.00,27.05,27.20,24.86,20.39,28.02,27.53,25.04,21.27,29.50,27.44,25.23,22.13
121,445,314,204,120,445,315,268,121,440,316,266,120,443,311,290,120,442,313,294,25.32,24.01,21.54,20.60,23.96,23.70,20.57,18.64,26.43,26.91,24.36,20.64,25.96,27.50,24.35,21.73,28.55,27.50,24.82,22.61
118,475,361,217,117,479,359,265,117,481,360,265,118,474,363,286,117,478,361,284,26.89,23.22,21.96,20.38,24.59,23.71,21.43,18.58,27.39,27.09,24.29,21.36,27.15,27.19,24.14,22.31,29.93,27.25,25.05,22.74
125,461,333,219,126,459,334,284,124,461,335,286,127,467,336,304,128,465,339,302,27.26,23.04,22.54,20.93,24.45,23.35,21.57,19.14,26.45,26.92,25.62,21.76,26.37,27.80,25.63,22.08,28.37,27.95,26.11,22.77
160,463,360,239,161,463,358,290,162,461,357,287,160,461,356,305,158,460,356,308,24.85,22.80,21.75,20.37,23.57,23.38,21.14,18.82,26.23,26.63,23.88,21.36,26.35,26.38,24.80,22.02,28.07,26.83,25.60,22.86
130,483,328,222,130,478,334,292,127,478,337,294,128,478,335,311,128,477,336,309,25.33,23.88,20.63,21.19,22.93,23.79,21.01,19.77,26.47,27.08,24.69,21.86,25.25,27.32,25.83,22.35,28.76,27.65,25.91,23.22
176,526,358,246,174,530,354,303,176,531,352,301,174,526,353,314,172,525,352,316,24.74,23.91,21.73,20.95,22.75,24.29,21.26,19.80,25.08,27.34,24.32,22.23,25.35,27.69,24.99,22.71,28.15,27.76,25.30,23.01
180,497,380,243,181,495,381,319,183,493,377,322,183,498,377,341,186,495,378,339,24.60,23.14,22.18,20.61,23.44,23.88,22.07,19.25,26.34,27.33,25.69,21.29,26.33,27.33,26.23,22.42,28.25,27.44,26.14,22.83
243,473,355,250,240,476,357,312,236,478,356,312,235,471,353,326,233,477,350,326,24.22,23.00,21.90,19.65,23.94,21.98,21.28,18.43,27.82,25.38,24.40,21.42,27.61,25.48,24.42,22.26,28.86,25.40,24.80,23.18
246,500,355,291,246,503,349,371,243,502,355,365,243,502,360,376,242,496,357,372,22.77,20.52,19.36,18.88,21.11,20.47,19.48,17.73,24.78,22.67,21.46,19.24,25.38,23.38,21.42,19.14,26.59,23.19,22.05,20.57
285,440,369,317,286,437,372,383,289,437,370,387,288,442,364,402,286,443,370,399,20.23,18.35,17.81,17.71,20.20,18.64,17.92,17.16,23.56,20.60,19.28,18.51,24.00,21.11,20.17,19.31,24.94,20.60,19.16,18.71
294,423,353,335,293,417,353,405,291,418,349,399,289,414,351,426,290,416,347,427,18.81,14.14,14.86,14.94,19.02,15.16,15.58,14.73,21.01,15.83,16.44,15.69,22.16,16.47,16.92,16.37,22.46,16.66,16.81,16.80
308,400,326,314,305,406,323,399,307,402,323,401,306,403,319,447,300,398,320,447,18.45,12.20,12.37,12.77,19.18,12.58,12.96,13.72,19.70,12.56,11.99,13.20,19.95,13.11,13.00,13.65,20.50,13.99,13.81,14.09
322,384,329,293,324,381,330,355,320,383,331,358,321,381,331,389,326,385,328,384,16.85,12.26,12.77,13.10,17.57,12.20,12.13,11.97,17.47,12.26,12.65,12.45,19.41,12.77,12.76,12.55,19.54,13.14,12.99,13.12
321,365,309,273,317,366,310,342,318,364,311,341,317,361,309,373,319,362,309,380,17.09,11.72,12.02,11.36,17.56,12.13,11.98,11.54,17.60,11.93,12.40,12.12,19.15,12.48,13.02,11.45,19.55,13.04,13.34,12.41
332,385,341,302,336,386,341,384,338,387,340,378,334,390,343,418,331,390,344,418,16.23,11.75,12.09,10.53,15.11,11.41,10.96,11.59,16.86,11.75,11.40,11.75,17.43,12.27,11.88,11.68,17.92,12.42,12.28,11.44
332,325,305,282,330,324,303,354,329,324,301,357,330,325,303,383,331,323,305,378,14.76,11.23,11.00,11.62,15.48,11.05,12.06,11.70,15.31,11.99,11.81,11.59,16.85,11.49,11.36,11.31,17.11,12.22,11.74,11.20
313,358,283,291,313,358,278,348,315,355,283,349,314,354,283,376,314,356,280,377,15.64,11.58,11.24,10.79,16.51,11.64,11.42,10.86,16.91,11.48,11.25,11.06,14.70,11.14,11.41,10.59,16.82,11.20,11.15,11.01
314,363,323,309,315,361,326,370,310,364,325,370,315,363,317,383,316,360,318,387,16.10,11.54,11.52,10.29,15.22,10.89,11.04,10.26,16.58,10.60,10.74,10.80,15.45,11.19,11.07,10.00,17.12,11.42,11.41,10.85
278,364,317,257,279,367,321,303,284,368,320,303,284,368,329,340,285,371,327,340,15.50,11.17,12.46,11.59,16.31,11.37,11.48,11.47,17.10,11.65,11.23,11.97,17.18,11.10,11.92,11.45,17.47,12.12,12.33,12.11
274,379,293,268,275,378,296,309,273,374,298,311,272,381,297,332,274,377,301,334,16.06,11.77,12.53,12.45,16.16,12.56,13.62,12.11,17.40,12.31,12.26,12.31,18.07,12.05,12.67,12.29,18.40,13.21,13.46,12.74
270,388,326,251,270,388,324,315,274,392,326,317,273,390,328,347,272,394,325,345,17.37,14.41,15.00,14.59,17.29,15.44,15.64,13.84,18.70,16.00,15.67,14.35,20.06,16.23,16.36,14.51,19.15,16.09,16.37,15.00
283,382,357,278,281,384,357,315,280,384,352,314,283,385,350,336,282,388,353,338,17.97,15.37,15.87,15.00,18.27,16.64,14.79,15.15,19.75,16.94,16.69,14.95,20.69,17.66,16.28,15.98,20.45,17.34,17.61,16.48
257,390,316,251,262,386,314,299,261,387,315,297,260,386,314,307,261,384,312,309,17.28,13.81,14.29,13.66,18.04,14.47,14.93,13.68,18.65,15.56,15.42,13.73,19.67,15.91,15.44,13.89,18.61,15.92,16.35,14.62
172,243,275,239,174,254,284,305,179,261,292,305,186,272,304,309,190,280,313,310,18.94,16.59,16.45,15.80,19.12,16.74,16.95,15.30,20.48,18.04,17.64,15.96,19.29,18.62,18.89,14.79,20.65,18.52,18.74,16.34
