2025-11-04 06:00:00,2,2
2025-11-04 06:15:00,1,1
2025-11-04 06:30:00,7,7
2025-11-04 06:45:00,6,6
2025-11-04 07:00:00,7,7
2025-11-04 07:15:00,11,11
2025-11-04 07:30:00,24,24
2025-11-04 07:45:00,32,32
2025-11-04 08:00:00,27,27
2025-11-04 08:15:00,20,20
2025-11-04 08:30:00,19,19
2025-11-04 08:45:00,17,17
2025-11-04 09:00:00,14,14
2025-11-04 09:15:00,16,16
2025-11-04 09:30:00,16,16
2025-11-04 09:45:00,11,11
2025-11-04 10:00:00,12,12
2025-11-04 10:15:00,12,12
2025-11-04 10:30:00,13,13
2025-11-04 10:45:00,10,10
2025-11-04 11:00:00,12,12
2025-11-04 11:15:00,12,12
2025-11-04 11:30:00,17,17
2025-11-04 11:45:00,15,15
2025-11-04 12:00:00,28,28
2025-11-04 12:15:00,20,20
2025-11-04 12:30:00,16,16
2025-11-04 12:45:00,18,18
2025-11-04 13:00:00,15,15
2025-11-04 13:15:00,14,14
2025-11-04 13:30:00,18,18
2025-11-04 13:45:00,21,21
2025-11-04 14:00:00,17,17
2025-11-04 14:15:00,18,18
2025-11-04 14:30:00,22,22
2025-11-04 14:45:00,34,34
2025-11-04 15:00:00,30,30
2025-11-04 15:15:00,30,30
2025-11-04 15:30:00,32,32
2025-11-04 15:45:00,22,22
2025-11-04 16:00:00,30,30
2025-11-04 16:15:00,16,16
2025-11-04 16:30:00,24,24
2025-11-04 16:45:00,24,24
2025-11-04 17:00:00,23,23
2025-11-04 17:15:00,26,26
2025-11-04 17:30:00,24,24
2025-11-04 17:45:00,17,17
