0.0,111.0,0.0305,0.0,11.0,0.0054,0.0,100.0,0.0556,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
0.15,70.0,0.0191,0.0,7.0,0.0037,0.0,63.0,0.0345,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
0.3,60.0,0.0162,0.0,10.0,0.0047,0.0,50.0,0.0277,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
0.45,56.0,0.0158,0.0,3.0,0.0018,0.0,53.0,0.0299,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1.0,37.0,0.0106,0.0,4.0,0.0022,0.0,33.0,0.019,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1.15,47.0,0.0137,0.0,6.0,0.0035,0.0,41.0,0.0239,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1.3,38.0,0.0104,0.0,6.0,0.0027,0.0,32.0,0.0182,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1.45,56.0,0.0151,0.0,5.0,0.0024,0.0,51.0,0.0278,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
2.0,52.0,0.0154,0.0,4.0,0.0024,0.0,48.0,0.0283,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
2.15,27.0,0.0079,0.0,1.0,0.0005,0.0,26.0,0.0154,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
2.3,32.0,0.0093,0.0,7.0,0.004,0.0,25.0,0.0144,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
2.45,19.0,0.0062,0.0,1.0,0.0011,0.0,18.0,0.0113,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
