0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0
0.2,20.0,0.0,0.0,20.0,0.0,0.0,0.0
0.3,19.0,0.0,0.0,19.0,0.0,0.0,0.0
0.5,17.0,0.0,0.0,17.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0
1.2,16.0,0.0,0.0,16.0,0.0,0.0,0.0
1.3,10.0,0.0,0.0,10.0,0.0,0.0,0.0
1.5,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2.2,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2.3,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2.5,13.0,0.0,0.0,13.0,0.0,0.0,0.0
3.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
3.2,10.0,0.0,0.0,10.0,0.0,0.0,0.0
3.3,10.0,0.0,0.0,10.0,0.0,0.0,0.0
3.5,8.0,0.0,0.0,8.0,0.0,0.0,0.0
4.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0
4.2,4.0,0.0,0.0,4.0,0.0,0.0,0.0
4.3,2.0,0.0,0.0,2.0,0.0,0.0,0.0
4.5,10.0,0.0,0.0,10.0,0.0,0.0,0.0
5.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
5.2,9.0,0.0,0.0,9.0,0.0,0.0,0.0
5.3,10.0,0.0,0.0,10.0,0.0,0.0,0.0
5.5,14.0,0.0,0.0,14.0,0.0,0.0,0.0
6.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
6.2,21.0,0.0,0.0,21.0,0.0,0.0,0.0
6.3,9.0,0.0,0.0,9.0,0.0,0.0,0.0
6.5,28.0,0.0,0.0,28.0,0.0,0.0,0.0
7.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0
7.2,31.0,0.0,0.0,31.0,0.0,0.0,0.0
7.3,44.0,0.0,0.0,44.0,0.0,0.0,0.0
7.5,46.0,0.0,0.0,46.0,0.0,0.0,0.0
8.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0
8.2,49.0,0.0,0.0,49.0,0.0,0.0,0.0
8.3,48.0,0.0,0.0,48.0,0.0,0.0,0.0
8.5,60.0,0.0,0.0,60.0,0.0,0.0,0.0
9.0,70.0,0.0,0.0,70.0,0.0,0.0,0.0
9.2,94.0,0.0,0.0,94.0,0.0,0.0,0.0
9.3,95.0,0.0,0.0,95.0,0.0,0.0,0.0
9.5,87.0,0.0,0.0,87.0,0.0,0.0,0.0
10.0,103.0,0.0,0.0,103.0,0.0,0.0,0.0
10.2,95.0,0.0,0.0,95.0,0.0,0.0,0.0
10.3,128.0,0.1,0.0,128.0,0.1,0.0,0.0
10.5,173.0,0.1,0.0,173.0,0.1,0.0,0.0
11.0,187.0,0.1,0.0,187.0,0.1,0.0,0.0
11.2,153.0,0.1,0.0,153.0,0.1,0.0,0.0
11.3,126.0,0.0,0.0,126.0,0.0,0.0,0.0
11.5,151.0,0.1,0.0,151.0,0.1,0.0,0.0
12.0,124.0,0.0,0.0,124.0,0.0,0.0,0.0
12.2,132.0,0.0,0.0,132.0,0.0,0.0,0.0
12.3,150.0,0.1,0.0,150.0,0.1,0.0,0.0
12.5,159.0,0.1,0.0,159.0,0.1,0.0,0.0
13.0,130.0,0.0,0.0,130.0,0.0,0.0,0.0
13.2,134.0,0.0,0.0,134.0,0.0,0.0,0.0
13.3,143.0,0.1,0.0,143.0,0.1,0.0,0.0
13.5,135.0,0.0,0.0,135.0,0.0,0.0,0.0
14.0,141.0,0.1,0.0,141.0,0.1,0.0,0.0
14.2,140.0,0.0,0.0,140.0,0.0,0.0,0.0
14.3,118.0,0.0,0.0,118.0,0.0,0.0,0.0
14.5,143.0,0.1,0.0,143.0,0.1,0.0,0.0
15.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0
15.2,152.0,0.1,0.0,152.0,0.1,0.0,0.0
15.3,178.0,0.1,0.0,178.0,0.1,0.0,0.0
15.5,182.0,0.1,0.0,182.0,0.1,0.0,0.0
16.0,143.0,0.1,0.0,143.0,0.1,0.0,0.0
16.2,108.0,0.0,0.0,108.0,0.0,0.0,0.0
16.3,108.0,0.0,0.0,108.0,0.0,0.0,0.0
16.5,112.0,0.0,0.0,112.0,0.0,0.0,0.0
17.0,106.0,0.0,0.0,106.0,0.0,0.0,0.0
17.2,127.0,0.0,0.0,127.0,0.0,0.0,0.0
17.3,123.0,0.0,0.0,123.0,0.0,0.0,0.0
17.5,126.0,0.0,0.0,126.0,0.0,0.0,0.0
18.0,135.0,0.1,0.0,135.0,0.1,0.0,0.0
18.2,142.0,0.1,0.0,142.0,0.1,0.0,0.0
18.3,172.0,0.1,0.0,172.0,0.1,0.0,0.0
18.5,144.0,0.1,0.0,144.0,0.1,0.0,0.0
19.0,94.0,0.0,0.0,94.0,0.0,0.0,0.0
19.2,90.0,0.0,0.0,90.0,0.0,0.0,0.0
19.3,81.0,0.0,0.0,81.0,0.0,0.0,0.0
19.5,79.0,0.0,0.0,79.0,0.0,0.0,0.0
20.0,79.0,0.0,0.0,79.0,0.0,0.0,0.0
20.2,89.0,0.0,0.0,89.0,0.0,0.0,0.0
20.3,81.0,0.0,0.0,81.0,0.0,0.0,0.0
20.5,71.0,0.0,0.0,71.0,0.0,0.0,0.0
21.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0
21.2,85.0,0.0,0.0,85.0,0.0,0.0,0.0
21.3,73.0,0.0,0.0,73.0,0.0,0.0,0.0
21.5,64.0,0.0,0.0,64.0,0.0,0.0,0.0
22.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0
22.2,50.0,0.0,0.0,50.0,0.0,0.0,0.0
22.3,63.0,0.0,0.0,63.0,0.0,0.0,0.0
22.5,53.0,0.0,0.0,53.0,0.0,0.0,0.0
23.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0
23.2,37.0,0.0,0.0,37.0,0.0,0.0,0.0
23.3,26.0,0.0,0.0,26.0,0.0,0.0,0.0
23.5,28.0,0.0,0.0,28.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0
0.2,20.0,0.0,0.0,20.0,0.0,0.0,0.0
0.3,12.0,0.0,0.0,12.0,0.0,0.0,0.0
0.5,13.0,0.0,0.0,13.0,0.0,0.0,0.0
1.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0
1.2,9.0,0.0,0.0,9.0,0.0,0.0,0.0
1.3,8.0,0.0,0.0,8.0,0.0,0.0,0.0
1.5,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2.2,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2.3,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2.5,15.0,0.0,0.0,15.0,0.0,0.0,0.0
3.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
3.2,3.0,0.0,0.0,3.0,0.0,0.0,0.0
3.3,15.0,0.0,0.0,15.0,0.0,0.0,0.0
3.5,9.0,0.0,0.0,9.0,0.0,0.0,0.0
4.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
4.2,14.0,0.0,0.0,14.0,0.0,0.0,0.0
4.3,21.0,0.0,0.0,21.0,0.0,0.0,0.0
4.5,34.0,0.0,0.0,34.0,0.0,0.0,0.0
5.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0
5.2,28.0,0.0,0.0,28.0,0.0,0.0,0.0
5.3,43.0,0.0,0.0,43.0,0.0,0.0,0.0
5.5,68.0,0.0,0.0,68.0,0.0,0.0,0.0
6.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0
6.2,76.0,0.0,0.0,76.0,0.0,0.0,0.0
6.3,110.0,0.0,0.0,110.0,0.0,0.0,0.0
6.5,173.0,0.1,0.0,173.0,0.1,0.0,0.0
7.0,148.0,0.1,0.0,148.0,0.1,0.0,0.0
7.2,170.0,0.1,0.0,170.0,0.1,0.0,0.0
7.3,197.0,0.1,0.0,197.0,0.1,0.0,0.0
7.5,249.0,0.1,0.0,249.0,0.1,0.0,0.0
8.0,209.0,0.1,0.0,209.0,0.1,0.0,0.0
8.2,240.0,0.1,0.0,240.0,0.1,0.0,0.0
8.3,183.0,0.1,0.0,183.0,0.1,0.0,0.0
8.5,201.0,0.1,0.0,201.0,0.1,0.0,0.0
9.0,186.0,0.1,0.0,186.0,0.1,0.0,0.0
9.2,183.0,0.1,0.0,183.0,0.1,0.0,0.0
9.3,127.0,0.0,0.0,127.0,0.0,0.0,0.0
9.5,163.0,0.1,0.0,163.0,0.1,0.0,0.0
10.0,156.0,0.1,0.0,156.0,0.1,0.0,0.0
10.2,157.0,0.1,0.0,157.0,0.1,0.0,0.0
10.3,160.0,0.1,0.0,160.0,0.1,0.0,0.0
10.5,163.0,0.1,0.0,163.0,0.1,0.0,0.0
11.0,141.0,0.1,0.0,141.0,0.1,0.0,0.0
11.2,121.0,0.0,0.0,121.0,0.0,0.0,0.0
11.3,131.0,0.1,0.0,131.0,0.1,0.0,0.0
11.5,129.0,0.0,0.0,129.0,0.0,0.0,0.0
12.0,129.0,0.0,0.0,129.0,0.0,0.0,0.0
12.2,154.0,0.1,0.0,154.0,0.1,0.0,0.0
12.3,174.0,0.1,0.0,174.0,0.1,0.0,0.0
12.5,169.0,0.1,0.0,169.0,0.1,0.0,0.0
13.0,130.0,0.1,0.0,130.0,0.1,0.0,0.0
13.2,137.0,0.0,0.0,137.0,0.0,0.0,0.0
13.3,153.0,0.1,0.0,153.0,0.1,0.0,0.0
13.5,178.0,0.1,0.0,178.0,0.1,0.0,0.0
14.0,157.0,0.1,0.0,157.0,0.1,0.0,0.0
14.2,138.0,0.0,0.0,138.0,0.0,0.0,0.0
14.3,141.0,0.1,0.0,141.0,0.1,0.0,0.0
14.5,167.0,0.1,0.0,167.0,0.1,0.0,0.0
15.0,145.0,0.1,0.0,145.0,0.1,0.0,0.0
